Mod:Item:MetaData, Localized Name
industrialupgrade:nugget:7, Кусочек магния
industrialupgrade:nugget:8, Кусочек никеля
industrialupgrade:nugget:9, Кусочек платины
industrialupgrade:nugget:10, Кусочек титана
industrialupgrade:nugget:11, Кусочек хрома
industrialupgrade:nugget:12, Кусочек шпинеля
industrialupgrade:nugget:13, Кусочек электрума
industrialupgrade:nugget:14, Кусочек серебра
industrialupgrade:nugget:15, Кусочек цинка
industrialupgrade:nugget:16, Кусочек марганца
industrialupgrade:nugget:17, Кусочек иридия
industrialupgrade:nugget:18, Кусочек германия
industrialupgrade:casing:0, Михаловая оболочка
industrialupgrade:casing:1, Алюминиевая оболочка
industrialupgrade:casing:2, Ванадиевая оболочка
industrialupgrade:casing:3, Вольфрамовая оболочка
industrialupgrade:casing:4, Инварная оболочка
industrialupgrade:casing:5, Каравковая оболочка
industrialupgrade:casing:6, Кобальтовая оболочка
industrialupgrade:casing:7, Магниевая оболочка
industrialupgrade:casing:8, Никелевая оболочка
industrialupgrade:casing:9, Платиновая оболочка
industrialupgrade:casing:10, Титановая оболочка
industrialupgrade:casing:11, Хромовая оболочка
industrialupgrade:casing:12, Шпинелевая оболочка
industrialupgrade:casing:13, Электрумовая оболочка
industrialupgrade:casing:14, Серебряная оболочка
industrialupgrade:casing:15, Цинковая оболочка
industrialupgrade:casing:16, Марганцевая оболочка
industrialupgrade:casing:17, Иридиевая оболочка
industrialupgrade:casing:18, Германиевая оболочка
industrialupgrade:crushed:0, Михаловая дроблёная руда
industrialupgrade:crushed:1, Алюминиевая дроблёная руда
industrialupgrade:crushed:2, Ванадиевая дроблёная руда
industrialupgrade:crushed:3, Вольфрамовая дроблёная руда
industrialupgrade:crushed:6, Кобальтовая дроблёная руда
industrialupgrade:crushed:7, Магниевая дроблёная руда
industrialupgrade:crushed:8, Никелевая дроблёная руда
industrialupgrade:crushed:9, Платиновая дроблёная руда
industrialupgrade:crushed:10, Титановая дроблёная руда
industrialupgrade:crushed:11, Хромовая дроблёная руда
industrialupgrade:crushed:12, Шпинелевая дроблёная руда
industrialupgrade:crushed:14, Серебряная дроблёная руда
industrialupgrade:crushed:15, Цинковая дроблёная руда
industrialupgrade:crushed:16, Марганцевая дроблёная руда
industrialupgrade:crushed:17, Иридиевая дроблёная руда
industrialupgrade:crushed:18, Германиевая дроблёная руда
industrialupgrade:itemdoubleplates:0, Плотная михаловая пластина
industrialupgrade:itemdoubleplates:1, Плотная алюминиевая пластина
industrialupgrade:itemdoubleplates:2, Плотная ванадиевая пластина
industrialupgrade:itemdoubleplates:3, Плотная вольфрамовая пластина
industrialupgrade:itemdoubleplates:4, Плотная инварная пластина
industrialupgrade:itemdoubleplates:5, Плотная каравковая пластина
industrialupgrade:itemdoubleplates:6, Плотная кобальтовая пластина
industrialupgrade:itemdoubleplates:7, Плотная магниевая пластина
industrialupgrade:itemdoubleplates:8, Плотная никелевая пластина
industrialupgrade:itemdoubleplates:9, Плотная платиновая пластина
industrialupgrade:itemdoubleplates:10, Плотная титановая пластина
industrialupgrade:itemdoubleplates:11, Плотная хромовая пластина
industrialupgrade:itemdoubleplates:12, Плотная шпинелевая пластина
industrialupgrade:itemdoubleplates:13, Плотная электрумовая пластина
industrialupgrade:itemdoubleplates:14, Плотная серебряная пластина
industrialupgrade:itemdoubleplates:15, Плотная цинковая пластина
industrialupgrade:itemdoubleplates:16, Плотная марганцевая пластина
industrialupgrade:itemdoubleplates:17, Плотная иридиевая пластина
industrialupgrade:itemdoubleplates:18, Плотная германиевая пластина
industrialupgrade:itemplates:0, Михаловая пластина
industrialupgrade:itemplates:1, Алюминиевая пластина
industrialupgrade:itemplates:2, Ванадиевая пластина
industrialupgrade:itemplates:3, Вольфрамовая пластина
industrialupgrade:itemplates:4, Инварная пластина
industrialupgrade:itemplates:5, Каравковая пластина
industrialupgrade:itemplates:6, Кобальтовая пластина
industrialupgrade:itemplates:7, Магниевая пластина
industrialupgrade:itemplates:8, Никелевая пластина
industrialupgrade:itemplates:9, Платиновая пластина
industrialupgrade:itemplates:10, Титановая пластина
industrialupgrade:itemplates:11, Хромовая пластина
industrialupgrade:itemplates:12, Шпинелевая пластина
industrialupgrade:itemplates:13, Электрумовая пластина
industrialupgrade:itemplates:14, Серебряная пластина
industrialupgrade:itemplates:15, Цинковая пластина
industrialupgrade:itemplates:16, Марганцевая пластина
industrialupgrade:itemplates:17, Иридиевая пластина
industrialupgrade:itemplates:18, Германиевая пластина
industrialupgrade:purifiedcrushed:0, Михаловая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:1, Алюминиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:2, Ванадиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:3, Вольфрамовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:6, Кобальтовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:7, Магниевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:8, Никелевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:9, Платиновая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:10, Титановая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:11, Хромовая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:12, Шпинелевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:14, Серебряная очищенная дроблёная руда
industrialupgrade:purifiedcrushed:15, Цинковая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:16, Марганцевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:17, Иридиевая очищенная дроблёная руда
industrialupgrade:purifiedcrushed:18, Германиевая очищенная дроблёная руда
industrialupgrade:smalldust:0, Кучка михаловой пыли
industrialupgrade:smalldust:1, Кучка алюминиевой пыли
industrialupgrade:smalldust:2, Кучка ванадиевой пыли
industrialupgrade:smalldust:3, Кучка вольфрамовой пыли
industrialupgrade:smalldust:4, Кучка инварной пыли
industrialupgrade:smalldust:5, Кучка каравковой пыли
industrialupgrade:smalldust:6, Кучка кобальтовой пыли
industrialupgrade:smalldust:7, Кучка магниевой пыли
industrialupgrade:smalldust:8, Кучка никелевой пыли
industrialupgrade:smalldust:9, Кучка платиновой пыли
industrialupgrade:smalldust:10, Кучка титановой пыли
industrialupgrade:smalldust:11, Кучка хромовой пыли
industrialupgrade:smalldust:12, Кучка шпинелевой пыли
industrialupgrade:smalldust:13, Кучка электрумовой пыли
industrialupgrade:smalldust:14, Кучка серебряной пыли
industrialupgrade:smalldust:15, Кучка цинковой пыли
industrialupgrade:smalldust:16, Кучка марганцевой пыли
industrialupgrade:smalldust:17, Кучка иридиевой пыли
industrialupgrade:smalldust:18, Кучка германиевой пыли
industrialupgrade:verysmalldust:0, Небольшая кучка михаловой пыли
industrialupgrade:verysmalldust:1, Небольшая кучка алюминиевой пыли
industrialupgrade:verysmalldust:2, Небольшая кучка ванадиевой пыли
industrialupgrade:verysmalldust:3, Небольшая кучка вольфрамовой пыли
industrialupgrade:verysmalldust:4, Небольшая кучка инварной пыли
industrialupgrade:verysmalldust:5, Небольшая кучка каравковой пыли
industrialupgrade:verysmalldust:6, Небольшая кучка кобальтовой пыли
industrialupgrade:verysmalldust:7, Небольшая кучка магниевой пыли
industrialupgrade:verysmalldust:8, Небольшая кучка никелевой пыли
industrialupgrade:verysmalldust:9, Небольшая кучка платиновой пыли
industrialupgrade:verysmalldust:10, Небольшая кучка титановой пыли
industrialupgrade:verysmalldust:11, Небольшая кучка хромовой пыли
industrialupgrade:verysmalldust:12, Небольшая кучка шпинелевой пыли
industrialupgrade:verysmalldust:13, Небольшая кучка электрумовой пыли
industrialupgrade:verysmalldust:14, Небольшая кучка серебряной пыли
industrialupgrade:verysmalldust:15, Небольшая кучка цинковой пыли
industrialupgrade:verysmalldust:16, Небольшая кучка марганцевой пыли
industrialupgrade:verysmalldust:17, Небольшая кучка иридиевой пыли
industrialupgrade:verysmalldust:18, Небольшая кучка германиевой пыли
industrialupgrade:stik:0, Михаловая палка
industrialupgrade:stik:1, Алюминиевая палка
industrialupgrade:stik:2, Ванадиевая палка
industrialupgrade:stik:3, Вольфрамовая палка
industrialupgrade:stik:4, Инварная палка
industrialupgrade:stik:5, Каравковая палка
industrialupgrade:stik:6, Кобальтовая палка
industrialupgrade:stik:7, Магниевая палка
industrialupgrade:stik:8, Никелевая палка
industrialupgrade:stik:9, Платиновая палка
industrialupgrade:stik:10, Титановая палка
industrialupgrade:stik:11, Хромовая палка
industrialupgrade:stik:12, Шпинелевая палка
industrialupgrade:stik:13, Электрумовая палка
industrialupgrade:stik:14, Серебряная палка
industrialupgrade:stik:15, Цинковая палка
industrialupgrade:stik:16, Марганцевая палка
industrialupgrade:stik:17, Иридиевая палка
industrialupgrade:stik:18, Германиевая палка
industrialupgrade:modules:0, Модуль: Генерация днём I
industrialupgrade:modules:1, Модуль: Генерация днём II
industrialupgrade:modules:2, Модуль: Генерация днём III
industrialupgrade:modules:3, Модуль: Генерация ночью I
industrialupgrade:modules:4, Модуль: Генерация ночью II
industrialupgrade:modules:5, Модуль: Генерация ночью III
industrialupgrade:modules:6, Модуль: Хранилище I
industrialupgrade:modules:7, Модуль: Хранилище II
industrialupgrade:modules:8, Модуль: Хранилище III
industrialupgrade:modules:9, Модуль: Выход I
industrialupgrade:modules:10, Модуль: Выход II
industrialupgrade:modules:11, Модуль: Выход III
industrialupgrade:modules:12, Модуль: Утро, день и вечер I
industrialupgrade:modules:13, Модуль: Утро, день и вечер II
industrialupgrade:modules:14, Модуль: Утро, день и вечер III
industrialupgrade:modules:15, Модуль: Второе Солнце I
industrialupgrade:modules:16, Модуль: Второе Солнце II
industrialupgrade:modules:17, Модуль: Второе Солнце III
industrialupgrade:additionmodule:0, Модуль: Приватность
industrialupgrade:additionmodule:1, Модуль: Повышение уровня панели
industrialupgrade:additionmodule:2, Модуль: Понижение уровня панели
industrialupgrade:additionmodule:3, Модуль: Зарядка предметов
industrialupgrade:additionmodule:4, Модуль: RF-энергия
industrialupgrade:additionmodule:5, Модуль: Мгновенная беспроводная зарядка брони
industrialupgrade:additionmodule:6, Модуль: Мгновенная беспроводная зарядка инструментов
industrialupgrade:additionmodule:7, Модуль: Мгновенная беспроводная зарядка брони (RF)
industrialupgrade:additionmodule:8, Модуль: Мгновенная беспроводная зарядка инструментов (RF)
industrialupgrade:additionmodule:9, Модуль: Очиститель
industrialupgrade:additionmodule:10, Модуль беспроводной связи
industrialupgrade:modultype:0, Модуль: Воздушная панель
industrialupgrade:modultype:1, Модуль: Земляная панель
industrialupgrade:modultype:2, Модуль: Адская панель
industrialupgrade:modultype:3, Модуль: Краевая панель
industrialupgrade:modultype:4, Модуль: Ночная панель
industrialupgrade:modultype:5, Модуль: Дневная панель
industrialupgrade:modultype:6, Модуль: Дождевая панель
industrialupgrade:modulestype:0, Модуль: Улучшенная солнечная панель
industrialupgrade:modulestype:1, Модуль: §3Гибридная солнечная панель
industrialupgrade:modulestype:2, Модуль: §9Совершенная солнечная панель
industrialupgrade:modulestype:3, Модуль: §2Квантовая солнечная панель
industrialupgrade:modulestype:4, Модуль: §eСпектральная солнечная панель
industrialupgrade:modulestype:5, Модуль: §5Протонная солнечная панель
industrialupgrade:modulestype:6, Модуль: §8Сингулярная солнечная панель
industrialupgrade:modulestype:7, Модуль: §cДифракционная солнечная панель
industrialupgrade:modulestype:8, Модуль: §aФотонная солнечная панель
industrialupgrade:modulestype:9, Модуль: §9Нейтронная солнечная панель
industrialupgrade:modulestype:10, Модуль: Барионная солнечная панель
industrialupgrade:modulestype:11, Модуль: Адронная солнечная панель
industrialupgrade:modulestype:12, Модуль: Гравитонная солнечная панель
industrialupgrade:modulestype:13, Модуль: Кварковая солнечная панель
industrialupgrade:wind_meter, Ветромер
industrialupgrade:rotorupgrade_schemes, iu.rotorupgrade_schemes.name.name
industrialupgrade:spectral_box, iu.spectral_box.name.name
industrialupgrade:adv_spectral_box, iu.adv_spectral_box.name.name
industrialupgrade:coal_chunk, iu.coal_chunk.name.name
industrialupgrade:compresscarbon, iu.compresscarbon.name.name
industrialupgrade:compresscarbonultra, iu.compresscarbonultra.name.name
industrialupgrade:photoniy, iu.photoniy.name.name
industrialupgrade:photoniy_ingot, iu.photoniy_ingot.name.name
industrialupgrade:quantumitems2, iu.quantumitems2.name.name
industrialupgrade:quantumitems3, iu.quantumitems3.name.name
industrialupgrade:expmodule, iu.expmodule.name.name
industrialupgrade:quantumitems4, iu.quantumitems4.name.name
industrialupgrade:nanobox, iu.nanobox.name.name
industrialupgrade:module_schedule, iu.module_schedule.name.name
industrialupgrade:quantumitems6, iu.quantumitems6.name.name
industrialupgrade:quantumitems7, iu.quantumitems7.name.name
industrialupgrade:neutronium, iu.neutronium.name.name
industrialupgrade:plast, iu.plast.name.name
industrialupgrade:module_stack, iu.module_stack.name.name
industrialupgrade:module_quickly, iu.module_quickly.name.name
industrialupgrade:module_storage, iu.module_storage.name.name
industrialupgrade:plastic_plate, iu.plastic_plate.name.name
industrialupgrade:doublescrapbox, iu.doublescrapbox.name.name
industrialupgrade:quarrymodule, iu.quarrymodule.name.name
industrialupgrade:analyzermodule, iu.analyzermodule.name.name
industrialupgrade:radiationresources:0, Кусок америция
industrialupgrade:radiationresources:1, Кусок нептуния
industrialupgrade:radiationresources:2, Кусок кюрия
industrialupgrade:radiationresources:3, Кусок калифорния
industrialupgrade:radiationresources:4, Излучающий торий
industrialupgrade:radiationresources:5, Кусок менделевия
industrialupgrade:radiationresources:6, Кусок берклия
industrialupgrade:radiationresources:7, Кусок эйнштейния
industrialupgrade:radiationresources:8, Уран-233
industrialupgrade:protonshard, iu.protonshard.name
industrialupgrade:proton, iu.proton.name
industrialupgrade:toriy, iu.toriy.name
industrialupgrade:itemsunnarium:0, Обогащённый соларит
industrialupgrade:itemsunnarium:1, Обогащённая соларитовая пластина
industrialupgrade:itemsunnarium:2, Соларитовая пластина
industrialupgrade:itemsunnarium:3, Соларит
industrialupgrade:itemsunnarium:4, Кусочек соларита
industrialupgrade:itemsunnariumpanel:0, Гибридная соларитовая пластина
industrialupgrade:itemsunnariumpanel:1, Совершенная соларитовая пластина
industrialupgrade:itemsunnariumpanel:2, Квантовая соларитовая пластина
industrialupgrade:itemsunnariumpanel:3, Спектральная соларитовая пластина
industrialupgrade:itemsunnariumpanel:4, Протонная соларитовая пластина
industrialupgrade:itemsunnariumpanel:5, Сингулярная соларитовая пластина
industrialupgrade:itemsunnariumpanel:6, Дифракционная соларитовая пластина
industrialupgrade:itemsunnariumpanel:7, Фотонная соларитовая пластина
industrialupgrade:itemsunnariumpanel:8, Нейтронная соларитовая пластина
industrialupgrade:itemsunnariumpanel:9, Барионная соларитовая пластина
industrialupgrade:itemsunnariumpanel:10, Адронная соларитовая пластина
industrialupgrade:itemsunnariumpanel:11, Гравитонная соларитовая пластина
industrialupgrade:itemsunnariumpanel:12, Кварковая соларитовая пластина
industrialupgrade:anode, iu.anode.name
industrialupgrade:cathode, iu.cathode.name
industrialupgrade:alloycasing:0, Оболочка алюминиевой бронзы
industrialupgrade:alloycasing:1, Оболочка алюминида титана
industrialupgrade:alloycasing:2, Оболочка красной латуни
industrialupgrade:alloycasing:3, Оболочка мунц-металла
industrialupgrade:alloycasing:4, Нихромовая оболочка
industrialupgrade:alloycasing:5, Алькледная оболочка
industrialupgrade:alloycasing:6, Оболочка ванадиево-алюминиевого сплава
industrialupgrade:alloycasing:7, Виталлиевая оболочка
industrialupgrade:alloycasing:8, Дюралюминиевая оболочка
industrialupgrade:alloycasing:9, Ферромарганцевая оболочка
industrialupgrade:alloydoubleplate:0, Плотная пластина алюминиевой бронзы
industrialupgrade:alloydoubleplate:1, Плотная пластина алюминида титана
industrialupgrade:alloydoubleplate:2, Плотная пластина красной латуни
industrialupgrade:alloydoubleplate:3, Плотная пластина мунц-металла
industrialupgrade:alloydoubleplate:4, Плотная нихромовая пластина
industrialupgrade:alloydoubleplate:5, Плотная алькледная пластина
industrialupgrade:alloydoubleplate:6, Плотная пластина ванадиево-алюминиевого сплава
industrialupgrade:alloydoubleplate:7, Плотная виталлиевая пластина
industrialupgrade:alloydoubleplate:8, Плотная дюралюминиевая пластина
industrialupgrade:alloydoubleplate:9, Плотная ферромарганцевая пластина
industrialupgrade:alloydust:0, Пыль алюминиевой бронзы
industrialupgrade:alloydust:1, Пыль алюминида титана
industrialupgrade:alloydust:2, Пыль красной латуни
industrialupgrade:alloydust:3, Пыль мунц-металла
industrialupgrade:alloydust:4, Нихромовая пыль
industrialupgrade:alloydust:5, Алькледная пыль
industrialupgrade:alloydust:6, Пыль ванадиево-алюминиевого сплава
industrialupgrade:alloydust:7, Виталлиевая пыль
industrialupgrade:alloydust:8, Дюралюминиевая пыль
industrialupgrade:alloydust:9, Ферромарганцевая пыль
industrialupgrade:alloyingot:0, Слиток алюминиевой бронзы
industrialupgrade:alloyingot:1, Слиток алюминида титана
industrialupgrade:alloyingot:2, Слиток красной латуни
industrialupgrade:alloyingot:3, Слиток мунц-металла
industrialupgrade:alloyingot:4, Нихромовый слиток
industrialupgrade:alloyingot:5, Алькледный слиток
industrialupgrade:alloyingot:6, Слиток ванадиево-алюминиевого сплава
industrialupgrade:alloyingot:7, Виталлиевый слиток
industrialupgrade:alloyingot:8, Дюралюминиевый слиток
industrialupgrade:alloyingot:9, Ферромарганцевый слиток
industrialupgrade:alloynugget:0, Кусочек алюминиевой бронзы
industrialupgrade:alloynugget:1, Кусочек алюминида титана
industrialupgrade:alloynugget:2, Кусочек красной латуни
industrialupgrade:alloynugget:3, Кусочек мунц-металла
industrialupgrade:alloynugget:4, Кусочек нихрома
industrialupgrade:alloynugget:5, Кусочек алькледа
industrialupgrade:alloynugget:6, Кусочек ванадиево-алюминиевого сплава
industrialupgrade:alloynugget:7, Кусочек виталлия
industrialupgrade:alloynugget:8, Кусочек дюралюминия
industrialupgrade:alloynugget:9, Кусочек ферромарганца
industrialupgrade:alloyplate:0, Пластина алюминиевой бронзы
industrialupgrade:alloyplate:1, Пластина алюминида титана
industrialupgrade:alloyplate:2, Пластина красной латуни
industrialupgrade:alloyplate:3, Пластина мунц-металла
industrialupgrade:alloyplate:4, Нихромовая пластина
industrialupgrade:alloyplate:5, Алькледная пластина
industrialupgrade:alloyplate:6, Пластина ванадиево-алюминиевого сплава
industrialupgrade:alloyplate:7, Виталлиевая пластина
industrialupgrade:alloyplate:8, Дюралюминиевая пластина
industrialupgrade:alloyplate:9, Ферромарганцевая пластина
industrialupgrade:preciousgem:0, Рубин
industrialupgrade:preciousgem:1, Сапфир
industrialupgrade:preciousgem:2, Топаз
industrialupgrade:advventspread, iu.advventspread.name
industrialupgrade:impventspread, iu.impventspread.name
industrialupgrade:reactoradvvent, iu.reactoradvvent.name
industrialupgrade:reactorimpvent, iu.reactorimpvent.name
industrialupgrade:reactorcondensatordiamond, iu.reactorcondensatordiamond.name
industrialupgrade:advheatswitch, iu.advheatswitch.name
industrialupgrade:impheatswitch, iu.impheatswitch.name
industrialupgrade:reactorcoolantmax, iu.reactorcoolantmax.name
industrialupgrade:reactorcoolanttwelve, iu.reactorcoolanttwelve.name
industrialupgrade:heat_storage, iu.heat_storage.name
industrialupgrade:tri_heat_storage, iu.tri_heat_storage.name
industrialupgrade:hex_heat_storage, iu.hex_heat_storage.name
industrialupgrade:plating, iu.plating.name
industrialupgrade:heat_plating, iu.heat_plating.name
industrialupgrade:containment_plating, iu.containment_plating.name
industrialupgrade:heat_exchanger, iu.heat_exchanger.name
industrialupgrade:reactor_heat_exchanger, iu.reactor_heat_exchanger.name
industrialupgrade:component_heat_exchanger, iu.component_heat_exchanger.name
industrialupgrade:advanced_heat_exchanger, iu.advanced_heat_exchanger.name
industrialupgrade:heat_vent, iu.heat_vent.name
industrialupgrade:reactor_heat_vent, iu.reactor_heat_vent.name
industrialupgrade:overclocked_heat_vent, iu.overclocked_heat_vent.name
industrialupgrade:component_heat_vent, iu.component_heat_vent.name
industrialupgrade:advanced_heat_vent, iu.advanced_heat_vent.name
industrialupgrade:neutron_reflector, iu.neutron_reflector.name
industrialupgrade:thick_neutron_reflector, iu.thick_neutron_reflector.name
industrialupgrade:rsh_condensator, iu.rsh_condensator.name
industrialupgrade:lzh_condensator, iu.lzh_condensator.name
industrialupgrade:depleted_uranium, iu.depleted_uranium.name
industrialupgrade:depleted_dual_uranium, iu.depleted_dual_uranium.name
industrialupgrade:depleted_quad_uranium, iu.depleted_quad_uranium.name
industrialupgrade:depleted_mox, iu.depleted_mox.name
industrialupgrade:depleted_dual_mox, iu.depleted_dual_mox.name
industrialupgrade:depleted_quad_mox, iu.depleted_quad_mox.name
industrialupgrade:uranium_fuel_rod, iu.uranium_fuel_rod.name
industrialupgrade:dual_uranium_fuel_rod, iu.dual_uranium_fuel_rod.name
industrialupgrade:quad_uranium_fuel_rod, iu.quad_uranium_fuel_rod.name
industrialupgrade:mox_fuel_rod, iu.mox_fuel_rod.name
industrialupgrade:dual_mox_fuel_rod, iu.dual_mox_fuel_rod.name
industrialupgrade:quad_mox_fuel_rod, iu.quad_mox_fuel_rod.name
industrialupgrade:upgradekitpanel:0, Набор улучшений панели из обычной в улучшенную
industrialupgrade:upgradekitpanel:1, Набор улучшений панели из улучшенной в гибридную
industrialupgrade:upgradekitpanel:2, Набор улучшений панели из гибридной в совершенную гибридную
industrialupgrade:upgradekitpanel:3, Набор улучшений панели из совершенной гибридной в квантовую
industrialupgrade:upgradekitpanel:4, Набор улучшений панели из квантовой в спектральную
industrialupgrade:upgradekitpanel:5, Набор улучшений панели из спектральной в протонную
industrialupgrade:upgradekitpanel:6, Набор улучшений панели из протонной в сингулярную
industrialupgrade:upgradekitpanel:7, Набор улучшений панели из сингулярной в дифракционную
industrialupgrade:upgradekitpanel:8, Набор улучшений панели из дифракционной в фотонную
industrialupgrade:upgradekitpanel:9, Набор улучшений панели из фотонной в нейтронную
industrialupgrade:upgradekitpanel:10, Набор улучшений панели из нейтронной в барионную
industrialupgrade:upgradekitpanel:11, Набор улучшений панели из барионной в адронную
industrialupgrade:upgradekitpanel:12, Набор улучшений панели из адронной в гравитонную
industrialupgrade:upgradekitpanel:13, Набор улучшений панели из гравитонной в кварковую
industrialupgrade:upgradekitpanel:14, Набор улучшений панели из гибридной в дракониевую
industrialupgrade:upgradekitpanel:15, Набор улучшений панели из дракониевой в пробуждённую
industrialupgrade:upgradekitpanel:16, Набор улучшений панели из пробуждённой в хаотическую
industrialupgrade:upgradekitpanel:17, Набор улучшений панели из улучшенной в манастальную
industrialupgrade:upgradekitpanel:18, Набор улучшений панели из манастальной в элементиевую
industrialupgrade:upgradekitpanel:19, Набор улучшений панели из элементиевой в террастальную
industrialupgrade:upgradekitpanel:20, Набор улучшений панели из фотонной в нейтрониевую
industrialupgrade:upgradekitpanel:21, Набор улучшений панели из нейтрониевой в панель бесконечности
industrialupgrade:upgradekitpanel:22, Набор улучшений панели из гибридной в таумиевую
industrialupgrade:upgradekitpanel:23, Набор улучшений панели из таумиевой в пустотную
industrialupgrade:magnet, Магнит
industrialupgrade:impmagnet, Продвинутый магнит
industrialupgrade:purifier, Очиститель
industrialupgrade:entitymodules:0, Охотничий модуль: Игрок
industrialupgrade:entitymodules:1, Охотничий модуль: Моб
industrialupgrade:itemcell:0, Капсула
industrialupgrade:itemcell:1, Капсула нейтрона
industrialupgrade:itemcell:2, Капсула гелия
industrialupgrade:itemcell:3, Капсула бензина
industrialupgrade:itemcell:4, Капсула дизельного топлива
industrialupgrade:itemcell:5, Капсула нефти
industrialupgrade:itemcell:6, Капсула полиэтилена
industrialupgrade:itemcell:7, Капсула полипропилена
industrialupgrade:itemcell:8, Капсула кислорода
industrialupgrade:itemcell:9, Капсула водорода
industrialupgrade:baseblockalloy:0, Блок алюминиевой бронзы
industrialupgrade:baseblockalloy:1, Блок алюминида титана
industrialupgrade:baseblockalloy:2, Блок красной латуни
industrialupgrade:baseblockalloy:3, Блок мунц-металла
industrialupgrade:baseblockalloy:4, Нихромовый блок
industrialupgrade:baseblockalloy:5, Алькледный блок
industrialupgrade:baseblockalloy:6, Блок ванадиево-алюминиевого сплава
industrialupgrade:baseblockalloy:7, Виталлиевый блок
industrialupgrade:baseblockalloy:8, Дюралюминиевый блок
industrialupgrade:baseblockalloy:9, Ферромарганцевый блок
industrialupgrade:baseblockingot:0, Михаловый блок
industrialupgrade:baseblockingot:1, Алюминиевый блок
industrialupgrade:baseblockingot:2, Ванадиевый блок
industrialupgrade:baseblockingot:3, Вольфрамовый блок
industrialupgrade:baseblockingot:4, Инварный блок
industrialupgrade:baseblockingot:5, Каравковый блок
industrialupgrade:baseblockingot:6, Кобальтовый блок
industrialupgrade:baseblockingot:7, Магниевый блок
industrialupgrade:baseblockingot:8, Никелевый блок
industrialupgrade:baseblockingot:9, Платиновый блок
industrialupgrade:baseblockingot:10, Титановый блок
industrialupgrade:baseblockingot:11, Хромовый блок
industrialupgrade:baseblockingot:12, Шпинелевый блок
industrialupgrade:baseblockingot:13, Электрумовый блок
industrialupgrade:baseblockingot:14, Серебряный блок
industrialupgrade:baseblockingot:15, Цинковый блок
industrialupgrade:baseblockingot1:0, Марганцевый блок
industrialupgrade:baseblockingot1:1, Иридиевый блок
industrialupgrade:baseblockingot1:2, Германиевый блок
industrialupgrade:blockprecious:0, Рубиновый блок
industrialupgrade:blockprecious:1, Сапфировый блок
industrialupgrade:blockprecious:2, Топазовый блок
industrialupgrade:blockpreciousore:0, Рубиновая руда
industrialupgrade:blockpreciousore:1, Сапфировая руда
industrialupgrade:blockpreciousore:2, Топазовая руда
industrialupgrade:baseore:0, Михаловая руда
industrialupgrade:baseore:1, Алюминиевая руда
industrialupgrade:baseore:2, Ванадиевая руда
industrialupgrade:baseore:3, Вольфрамовая руда
industrialupgrade:baseore:4, Кобальтовая руда
industrialupgrade:baseore:5, Магниевая руда
industrialupgrade:baseore:6, Никелевая руда
industrialupgrade:baseore:7, Платиновая руда
industrialupgrade:baseore:8, Титановая руда
industrialupgrade:baseore:9, Хромовая руда
industrialupgrade:baseore:10, Шпинелевая руда
industrialupgrade:baseore:11, Серебряная руда
industrialupgrade:baseore:12, Цинковая руда
industrialupgrade:baseore:13, Марганцевая руда
industrialupgrade:baseore:14, Иридиевая руда
industrialupgrade:baseore:15, Германиевая руда
industrialupgrade:heavyore:0, Магнетит
industrialupgrade:heavyore:1, Калаверит
industrialupgrade:heavyore:2, Галенит
industrialupgrade:heavyore:3, Никелит
industrialupgrade:heavyore:4, Пирит
industrialupgrade:heavyore:5, Кварцит
industrialupgrade:heavyore:6, Уранит
industrialupgrade:heavyore:7, Азурит
industrialupgrade:heavyore:8, Родонит
industrialupgrade:heavyore:9, Альфильдит
industrialupgrade:heavyore:10, Эвксенит
industrialupgrade:heavyore:11, Смитсонит
industrialupgrade:heavyore:12, Ильменит
industrialupgrade:heavyore:13, Тодорокит
industrialupgrade:heavyore:14, Ферроавгит
industrialupgrade:heavyore:15, Шеелит
industrialupgrade:blockradiationore:0, Америциевая руда
industrialupgrade:blockradiationore:1, Нептуниевая руда
industrialupgrade:blockradiationore:2, Кюриевая руда
industrialupgrade:veinoil:0, Нефтяная жила
industrialupgrade:thorium_ore:0, Ториевая руда
industrialupgrade:itemiucrafring:0, Излучающий уран
industrialupgrade:itemiucrafring:1, Излучающая стеклянная поверхность
industrialupgrade:itemiucrafring:2, Урановый слиток
industrialupgrade:itemiucrafring:3, Ядро молекулярного преобразователя
industrialupgrade:chainsaw, Электропила
industrialupgrade:drill, Шахтёрский бур
industrialupgrade:diamond_drill, Алмазный бур
industrialupgrade:nanopickaxe, §7Нано-кирка
industrialupgrade:nanoshovel, §7Нано-лопата
industrialupgrade:nanoaxe, §7Нано-топор
